Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
1,Squirtle,,7,♂,403,73,15,14,15,97.8,15.0,15.0,,,,"2023-07-09 8:51 pm","2023-07-09 8:51 pm",9/7/2023,,,0,0,0,1900,29.38%,2893,93.75%,26400,149,Blastoise,Normal,0,47.74%,2141,95.36%,266400,393,Blastoise,Normal,0,48.35%,2116,92.21%,14200,14,Squirtle,,0,
2,Blastoise,Normal,9,♂,1054,105,15,14,15,97.8,15.0,15.0,,,,"2023-07-09 5:16 pm","2023-07-09 5:16 pm",9/7/2023,,,0,0,0,1900,29.38%,2893,93.75%,26400,24,Blastoise,Normal,0,47.74%,2141,95.36%,266400,268,Blastoise,Normal,0,,,,,,,,,
3,Squirtle,,7,♂,545,90,2,14,15,68.9,23.0,23.0,Tackle,Water Pulse,,"2023-07-09 2:54 pm","2023-07-09 2:54 pm",9/7/2023,,,0,0,0,3500,98.88%,47,98.37%,414000,257,Wartortle,,0,99.02%,41,99.08%,372000,357,Blastoise,Normal,0,,,,,,,,,
4,Squirtle,,7,♂,110,41,1,14,15,66.7,5.0,5.0,Tackle,Aqua Tail,,"2023-07-09 2:53 pm","2023-07-09 2:53 pm",9/7/2023,,,0,0,0,600,99.93%,4,99.55%,59600,189,Blastoise,Normal,0,99.90%,5,99.69%,445600,421,Blastoise,Normal,0,95.56%,183,96.86%,47600,52,Squirtle,,0,
5,Pidgeot,Normal,18,♀,1488,140,8,15,14,82.2,25.5,25.5,Gust,Brave Bird,Feather Dance,"2023-07-09 11:06 am","2023-07-09 11:06 am",21/2/2023,,,0,0,0,4000,78.53%,880,96.15%,0,0,Pidgeot,Normal,0,96.70%,136,95.59%,440000,217,Pidgeot,Normal,0,,,,,,,,,
6,Pidgeot,Normal,18,♂,876,112,0,9,15,53.3,16.0,16.0,Air Slash,Brave Bird,,"2023-07-09 11:05 am","2023-04-06 8:47 pm",1/4/2023,,,0,0,0,1900,90.60%,386,97.02%,64600,58,Pidgeot,Normal,0,51.94%,1969,88.46%,492600,264,Pidgeot,Normal,0,,,,,,,,,
7,Wartortle,,8,♂,61,27,8,13,10,68.9,2.0,2.0,,,,"2023-07-09 11:04 am","2023-07-09 11:04 am",6/7/2023,,,0,0,0,200,89.91%,414,97.01%,58600,167,Blastoise,Normal,0,74.14%,1060,96.60%,394600,402,Blastoise,Normal,0,73.41%,1090,94.14%,5200,111,Blastoise,Normal,0,
8,Charmander,,4,♂,195,49,1,14,14,64.4,8.0,8.0,Ember,Flame Burst,,"2023-07-09 10:56 am","2023-06-01 5:43 pm",1/6/2023,,,0,0,0,800,,,,,,,,,99.05%,40,98.90%,168600,289,Charizard,Normal,0,,,,,,,,,U
9,Charmander,,4,♀,196,49,1,15,14,66.7,8.0,8.0,Ember,Flame Burst,,"2023-07-09 10:56 am","2023-06-17 5:13 pm",17/6/2023,,,0,1,0,961,99.29%,30,99.09%,292338,367,Charmeleon,,1,99.85%,7,99.43%,202338,349,Charizard,Normal,1,99.58%,18,98.40%,46330,66,Charmander,,1,
10,Charmander,,4,♂,450,75,1,15,15,68.9,18.0,18.0,Ember,Flame Charge,,"2023-07-09 10:55 am","2023-07-09 10:55 am",2/6/2023,,,0,0,0,2200,99.88%,6,99.86%,214400,251,Charmeleon,,0,98.36%,68,98.66%,132400,247,Charizard,Normal,0,99.98%,2,99.66%,9400,8,Charmander,,0,
